filename,page_no,label,text,bounding_box
0001_ChatGPT_is_bullshit.pdf,2,heading,"de variety of topics. Test it yourself: anyon
enAI web interface and ask for a ream of 
roduces text which is indistinguishable fro
erage English speaker or writer. The varie
milarity to human-generated text that GPT-","[64.52571428571426, 497.1085714285714, 229.0971428571428, 545.1085714285714]"
0001_ChatGPT_is_bullshit.pdf,2,body,,"[57.66857142857137, 1016.8800000000001, 422.46857142857135, 547.8514285714285]"
0001_ChatGPT_is_bullshit.pdf,2,body,"his means that their primary 
ne, is to produce human-like 
 the likelihood that a particular 
he text that has come before.
constructing a massive statis-
sed on large amounts of text, 
t. This is done with relatively 
rchers or the designers of the 
 designed by constructing a 
h act as probability functions 
 given its context and the text 
er than putting in these prob-
earchers feed the system large 
by having it make next-word 
g data. They then give it posi-
ending on whether it predicts 
 the machine can construct a 
kelihood of the next word in a 
h each word a vector which 
nal abstract space, near other 
contexts and far from those 
g text, it looks at the previ-
ructs a different vector, locat-
– its context – near those that 
 words. We can think of these 
the meaning of the word and 
But because these spaces are 
earning by repeated statisti-
 of text, we can’t know what 
nted by the dimensions of this 
e. Hence we do not know how 
ink of as meaning or context. 
wo vectors and produces a set 
rd; it selects and places one of 
h not always the most likely. 
e randomly amongst the more 
creative and human-like text; 
this is called the ‘temperature’ 
he model’s temperature makes 
d more likely to produce false-
s the process until it has a rec-
response to whatever prompt 
 surprising that LLMs have a 
 goal is to provide a normal-
pt, not to convey information 
ocutor. Examples of this are 
e, a lawyer recently prepared 
d discovered to his chagrin 
were not real (Weiser, 2023); 
s reserved.","[426.58285714285716, 78.8228571428571, 791.382857142857, 1022.3657142857143]"
0001_ChatGPT_is_bullshit.pdf,3,body,"ed with “bogus judicial decisions, with bogus quotes and 
gus internal citations”. Similarly, when computer science 
earchers tested ChatGPT’s ability to assist in academic 
ting, they found that it was able to produce surprisingly 
mprehensive and sometimes even accurate text on bio-
ical subjects given the right prompts. But when asked to 
duce evidence for its claims, “it provided five references 
ing to the early 2000s. None of the provided paper titles 
sted, and all provided PubMed IDs (PMIDs) were of dif-
ent unrelated papers” (Alkaissi and McFarland, 2023). 
ese errors can “snowball”: when the language model is 
ed to provide evidence for or a deeper explanation of 
alse claim, it rarely checks itself; instead it confidently 
ducesmore false but normal-sounding claims (Zhang et 
2023). The accuracy problem for LLMs and other gen-
tive Ais is often referred to as the problem of “AI hal-
ination”: the chatbot seems to be hallucinating sources 
 facts that don’t exist. These inaccuracies are referred 
s “hallucinations” in both technical (OpenAI, 2023) and 
pular contexts (Weise & Metz, 2023).
These errors are pretty minor if the only point of a chatbot 
o mimic human speech or communication. But the com-
ies designing and using these bots have grander plans: 
tbots could replace Google or Bing searches with a more 
r-friendly conversational interface (Shah & Bender, 
22; Zhu et al., 2023), or assist doctors or therapists in 
dical contexts (Lysandrou, 2023). In these cases, accu-
y is important and the errors represent a serious problem.
One attempted solution is to hook the chatbot up to some 
t of database, search engine, or computational program 
t can answer the questions that the LLM gets wrong 
u et al., 2023). Unfortunately, this doesn’t work very 
l either. For example, when ChatGPT is connected to 
lfram Alpha, a powerful piece of mathematical software, 
mproves moderately in answering simple mathematical 
stions. But it still regularly gets things wrong, especially 
questions which require multi-stage thinking (Davis & 
ronson, 2023). And when connected to search engines or 
er databases, the models are still fairly likely to provide 
e information unless they are given very specific instruc-
ns–and even then things aren’t perfect (Lysandrou, 2023). 
enAI has plans to rectify this by training the model to do 
p by step reasoning (Lightman et al., 2023) but this is 
te resource-intensive, and there is reason to be doubtful 
t it will completely solve the problem—nor is it clear that 
result will be a large language model, rather than some 
ader form of AI.
Solutions such as connecting the LLM to a database don’t 
rk because, if the models are trained on the database, 
n the words in the database affect the probability that the 
tbot will add one or another word to the line of text it is 
to the text in the database; doi
that it reproduces the informa
means ensures that it will.
On the other hand, the LLM
database by allowing it to c
similar to the way it consult
locutors. In this way, it can u
as text which it responds to a
this can work: when a human
model a question, it can then
query for the database. Then
database as an input and bu
back to the human questione
the chatbots might ask the da
misinterpret its answer (Davi
often struggles to formulate 
fram Alpha can accept or that
is not unrelated to the fact th
generates a query for the datab
it does so in the same way it 
estimating the likelihood that
kind of thing the database wil
One might worry that these
the accuracy of chatbots are
phor of AI hallucinations. If t
lucinating sources, one way 
it in touch with real rather t
attempts to do so have failed.
The problem here isn’t th
lucinate, lie, or misrepresent t
they are not designed to repr
they are designed to convey
when they are provided with
use this, in one way or another
convincing. But they are not 
convey or transmit the inform
rag Shah and Emily Bender 
of language models (whose tr
given context) is actually d
temporal reasoning, etc. To t
get the right answer to such q
happened to synthesize relev
their training data. No reason
language models are prone to
they are not designed to ex
information in natural langua
the form of language” (Shah 
els aren’t designed to transmi
be too surprised when their as
Content courtesy of Springer Nature, terms of use apply. Right","[65.8971428571428, 77.45142857142852, 422.46857142857135, 1030.5942857142857]"
0001_ChatGPT_is_bullshit.pdf,3,body,"g so will make it more likely 
on in the database but by no 
 can also be connected to the 
nsult the database, in a way 
or talks to its human inter-
e the outputs of the database 
d builds on. Here’s one way 
nterlocutor asks the language 
translate the question into a 
it takes the response of the 
ds a text from it to provide 
But this can misfire too, as 
abase the wrong question, or 
& Aaronson, 2023). “GPT-4 
problem in a way that Wol-
roduces useful output.” This 
t when the language model 
se or computational module, 
enerates text for humans: by 
ome output “looks like’’ the 
correspond with.
ailed methods for improving 
onnected to the inapt meta-
e AI is misperceiving or hal-
 rectify this would be to put 
an hallucinated sources. But 
 large language models hal-
e world in some way. It’s that 
ent the world at all; instead, 
convincing lines of text. So 
 database of some sort, they 
to make their responses more 
n any real way attempting to 
tion in the database. As Chi-
ut it: “Nothing in the design 
ning task is to predict words 
igned to handle arithmetic, 
e extent that they sometimes 
estions is only because they 
nt strings out of what was in 
g is involved […] Similarly, 
making stuff up […] because 
ess some underlying set of 
e; they are only manipulating 
 Bender, 2022). These mod-
nformation, so we shouldn’t 
ertions turn out to be false.
1 3
reserved.","[432.0685714285715, 76.07999999999996, 790.0114285714285, 986.7085714285714]"
0001_ChatGPT_is_bullshit.pdf,4,heading,"becaus
tante tr
are try
facts. T
nkfurtian bullshit and lying
ny popular discussions of ChatGPT call its false state-","[67.26857142857133, 76.07999999999996, 331.9542857142857, 115.85142857142854]"
0001_ChatGPT_is_bullshit.pdf,4,heading,,"[65.8971428571428, 151.50857142857143, 283.95428571428573, 115.85142857142854]"
0001_ChatGPT_is_bullshit.pdf,4,body,"the act of producing these ut
be classed as bullshit, it mus
explicit intentions that one h
a false belief in the hearer. O
accompanied by the intention
utterance. So far this story is
positive intentions be manifes
Throughout most of Fran
acterisation of bullshit is neg
requires “no conviction” from
truth is (2005: 55), that the b
to the truth (2005: 61) and tha
even intend to do so, either ab
the facts to be” (2005: 54). La
feature” of bullshit as “a lack
indifference to how things real
340). These suggest a negative
be classed as bullshit, it only n
ship to the truth.
However, in places, a pos
Frankfurt says what a bullshitt
“…does necessarily attemp
enterprise. His only indispens
is that in a certain way he mi
(2005: 54).
This is somewhat surprisin
bullshit to utterances accompa
tion. However, some of Frank
this feature. When Fania Pasca
“feeling like a dog that has jus
Wittgenstein, it stretches cred
intending to deceive him abou
how run-over dogs felt. And 
bullshit are typically described
der whether the positive condi
Bullshit distinctions
Should utterances without an 
bullshit? One reason in favou
or embracing a plurality of bu
furt’s comments on the danger
“In contrast [to merely un
ference to the truth is extrem
of civilized life, and the vital
y to think about it. We will argue that these falsehoods 
n’t hallucinations later. For now, we’ll discuss why these 
uths aren’t lies but instead are bullshit.
The topic of lying has a rich philosophical literature. In 
ing’, Saint Augustine distinguished seven types of lies, 
 his view altered throughout his life. At one point, he 
ended the position that any instance of knowingly utter-
a false utterance counts as a lie, so that even jokes 
taining false propositions, like –
 entered a pun competition and because I really 
wanted to win, I submitted ten entries. I was sure one 
of them would win, but no pun in ten did.
ould be regarded as a lie, as I have never entered such 
ompetition (Proops & Sorensen, 2023: 3). Later, this 
w is refined such that the speaker only lies if they intend 
hearer to believe the utterance. The suggestion that the 
aker must intend to deceive is a common stipulation in 
ature on lies. According to the “traditional account” of 
g:
To lie = df. to make a believed-false statement to 
nother person with the intention that the other person 
believe that statement to be true (Mahon, 2015).
 our purposes this definition will suffice. Lies are gen-
ly frowned upon. But there are acts of misleading tes-
ony which are criticisable, which do not fall under the 
brella of lying.1 These include spreading untrue gossip, 
ch one mistakenly, but culpably, believes to be true. 
other class of misleading testimony that has received 
icular attention from philosophers is that of bullshit. 
s everyday notion was analysed and introduced into the 
osophical lexicon by Harry Frankfurt.2
Frankfurt understands bullshit to be characterized not by 
ntent to deceive but instead by a reckless disregard for 
truth. A student trying to sound knowledgeable without 
particularly surprising position is espoused by Fichte, who regards 
ing not only lies of omission, but knowingly not correcting some-
who is operating under a falsehood. For instance, if I was to wear 
g, and someone believed this to be my real hair, Fichte regards this 
lie, for which I am culpable. Bacin (2021) for further discussion 
ichte’s position.
riginally published in Raritan, VI(2) in 1986. References to that 
k here are from the 2005 book version.
3
Content courtesy of Springer Nature, terms of use apply. Rights","[67.26857142857133, 156.9942857142857, 425.2114285714285, 896.1942857142858]"
0001_ChatGPT_is_bullshit.pdf,4,body,"potential voters, and a dilet-
ng story: none of these people 
are also not trying to convey 
ullshitting.
h a noun and a verb: an utter-
an instance of bullshit, as can 
erances. For an utterance to 
 not be accompanied by the 
as when lying, i.e., to cause 
f course, it must also not be 
s characterised by an honest 
 entirely negative. Must any 
ed in the utterer?
kfurt’s discussion, his char-
ative. He notes that bullshit 
m the speaker about what the 
ullshitter “pays no attention” 
 they “may not deceive us, or 
out the facts or what he takes 
er, he describes the “defining 
 of concern with truth, or an 
ly are [our emphasis]” (2002: 
 picture; that for an output to 
eeds to lack a certain relation-
itive intention is presented. 
er ….
pt to deceive us about is his 
ably distinctive characteristic 
srepresents what he is up to” 
g. It restricts what counts as 
nied by a higher-order decep-
furt’s examples seem to lack 
l describes her unwell state as 
t been run over” to her friend 
ulity to suggest that she was 
ut how much she knew about 
given how the conditions for 
d as negative, we might won-
tion is really necessary.
intention to deceive count as 
 of expanding the definition, 
llshit, is indicated by Frank-
s of bullshit.
intelligible discourse], indif-
ely dangerous. The conduct 
ty of the institutions that are 
 reserved.","[429.3257142857142, 78.8228571428571, 788.64, 842.7085714285714]"
0001_ChatGPT_is_bullshit.pdf,4,heading,,"[591.1542857142856, 871.5085714285714, 430.6971428571428, 844.08]"
0001_ChatGPT_is_bullshit.pdf,4,body,,"[426.58285714285716, 1025.1085714285714, 802.3542857142858, 886.5942857142857]"
0001_ChatGPT_is_bullshit.pdf,5,body,"has indifference towards the t
Hard bullshit Bullshit produ
lead the audience about the u
Soft bullshit Bullshit produce
lead the hearer regarding the 
The general notion of bul
sions, we might be confiden
soft bullshit or hard bullshit, b
ignorance of the speaker’s h
case, we can still call bullshit
Frankfurt’s own explicit
requirements about producer
whereas soft bullshit seems t
examples, such as that of Pa
genstein, or the work of adv
helpful to situate these distinc
On our view, hard bullshit is 
sam (2019), and Frankfurt’s
son that all of these views ho
present, rather than merely a
bullshit: a kind of “epistemi
tude towards truth on Cassam
an intent to mislead the heare
Frankfurt’s view. In our fina
ChatGPT may be a hard b
to note that it seems to us t
accounts cited here, requires o
or not LLMs can be agents, 
argumentative burdens.
Soft bullshit, by contrast, c
tive requirement – that is, the
we have classed as definitiona
reasons given above. As we a
a soft bullshitter or a bullshi
an agent then it can neither h
nor towards deceiving heare
properly, its users’) agenda.
It’s important to note tha
of bullshitting will have the
cern Frankfurt: as he says,
extremely dangerous…by th
5  It’s worth noting that somethin
and soft bullshitting we draw also 
that we might think of someone as
at bullshit, however frequently or 
they are merely “disposed to bulls
r the distinction between the true and the false. Insofar as 
e authority of this distinction is undermined by the preva-
nce of bullshit and by the mindlessly frivolous attitude 
at accepts the proliferation of bullshit as innocuous, an 
dispensable human treasure is squandered” (2002: 343).
These dangers seem to manifest regardless of whether 
ere is an intention to deceive about the enterprise a speaker 
engaged in. Compare the deceptive bullshitter, who does 
m to mislead us about being in the truth-business, with 
meone who harbours no such aim, but just talks for the 
ke of talking (without care, or indeed any thought, about 
e truth-values of their utterances).
One of Frankfurt’s examples of bullshit seems better 
ptured by the wider definition. He considers the adver-
ing industry, which is “replete with instances of bullshit 
 unmitigated that they serve among the most indisputable 
d classic paradigms of the concept” (2005:22). However, 
seems to misconstrue many advertisers to portray their 
ms as to mislead about their agendas. They are expected to 
y misleading things. Frankfurt discusses Marlboro adverts 
th the message that smokers are as brave as cowboys 
002: 341). Is it reasonable to suggest that the advertisers 
etended to believe this?
Frankfurt does allow for multiple species of bullshit 
002: 340).3 Following this suggestion, we propose to 
visage bullshit as a genus, and Frankfurt’s intentional 
llshit as one species within this genus. Other species may 
clude that produced by the advertiser, who anticipates that 
 one will believe their utterances4 or someone who has 
 intention one way or another about whether they mis-
ad their audience. To that end, consider the following 
stinction:
In making this comment, Frankfurt concedes that what Cohen calls 
ullshit” is also worthy of the name. In Cohen’s use (2002), bullshit is 
ype of unclarifiable text, which he associates with French Marxists. 
veral other authors have also explored this area in various ways in 
ent years, each adding valuable nuggets to the debate. Dennis Whit-
mb and Kenny Easwaran expand the domains to which “bullshit” 
n be applied. Whitcomb argues there can be bullshit questions (as 
ll as propositions), whereas Easwaran argues that we can fruitfully 
w some activities as bullshit (2023).While we accept that these offer 
uable streaks of bullshit insight, we will restrict our discussion to 
 Frankfurtian framework. For those who want to wade further into 
se distinctions, Neil Levy’s Philosophy, Bullshit, and Peer Review 
023) offers a taxonomical overview of the bullshit out there.
This need not undermine their goal. The advertiser may intend 
impress associations (e.g., positive thoughts like “cowboys” or 
rave” with their cigarette brand) upon their audience, or reinforce/
til brand recognition.Frankfurt describes this kind of scenario as 
curring in a “bull session”: “Each of the contributors to a bull ses-
n relies…upon a general recognition that what he expresses or says ","[61.78285714285708, 82.93714285714282, 421.0971428571427, 689.1085714285714]"
0001_ChatGPT_is_bullshit.pdf,5,body,"ruth of the utterance.
ced with the intention to mis-
tterer’s agenda.
d without the intention to mis-
utterer’s agenda.
lshit is useful: on some occa-
t that an utterance was either 
ut be unclear which, given our 
gher-order desires.5 In such a 
.
account, with the positive 
’s intentions, is hard bullshit, 
o describe some of Frankfurt’s 
scal’s conversation with Witt-
ertising agencies. It might be 
tions in the existing literature. 
most closely aligned with Cas-
positive account, for the rea-
ld that some intention must be 
bsent, for the utterance to be 
c insouciance” or vicious atti-
’s view, and (as we have seen) 
r about the utterer’s agenda on 
 section we consider whether 
ullshitter, but it is important 
hat hard bullshit, like the two 
one to take a stance on whether 
and so comes with additional 
aptures only Frankfurt’s nega-
indifference towards truth that 
al of bullshit (general) – for the 
rgue, ChatGPT is at minimum 
t machine, because if it is not 
old any attitudes towards truth 
rs about its (or, perhaps more 
 even this more modest kind 
 deleterious effects that con-
“indifference to the truth is 
e mindlessly frivolous attitude 
g like the distinction between hard 
occurs in Cohen (2002): he suggests 
 a bullshitter as “a person who aims 
nfrequently he hits his target”, or if 
hit: for whatever reason, to produce 
). While we do not adopt Cohen’s 
n his characterisation and our own 
1 3
s reserved.","[425.2114285714285, 80.19428571428567, 783.1542857142856, 898.9371428571427]"
0001_ChatGPT_is_bullshit.pdf,6,body,"ent to whether its utterances
care about the truth of its ou
Presumably ChatGPT can
ing the truth, since it can’t c
a matter of conceptual neces
criteria for bullshit. Howeve
can’t care about anything e
absurd to suggest that this
Similarly books can contain
selves bullshitters. Unlike ro
itself produces text, and loo
independently of its users a
is considerable disagreemen
has intentions, it’s widely a
duces are (typically) meanin
spensable human treasure is squandered” (2002, p343). 
reating ChatGPT and similar LLMs as being in any way 
cerned with truth, or by speaking metaphorically as if 
 make mistakes or suffer “hallucinations” in pursuit of 
 claims, we risk exactly this acceptance of bullshit, and 
squandering of meaning – so, irrespective of whether or 
ChatGPT is a hard or a soft bullshitter, it does produce 
shit, and it does matter.
atGPT is bullshit
h this distinction in hand, we’re now in a position to 
sider a worry of the following sort: Is ChatGPT hard 
shitting, soft bullshitting, or neither? We will argue, first, ","[68.63999999999997, 76.07999999999996, 416.98285714285703, 257.10857142857134]"
0001_ChatGPT_is_bullshit.pdf,6,heading," ChatGPT, and other LLMs, are clearly sof
wever, the question of whether these chat
shitting is a trickier one, and depends on
mplex questions concerning whether Cha","[67.26857142857133, 266.7085714285714, 233.21142857142854, 310.59428571428566]"
0001_ChatGPT_is_bullshit.pdf,6,body,,"[65.8971428571428, 482.0228571428571, 423.84000000000003, 316.08]"
0001_ChatGPT_is_bullshit.pdf,6,heading,,"[59.03999999999991, 525.9085714285715, 296.2971428571429, 490.25142857142856]"
0001_ChatGPT_is_bullshit.pdf,6,body,,"[52.18285714285711, 1026.48, 427.9542857142858, 528.6514285714285]"
0001_ChatGPT_is_bullshit.pdf,6,body,"e true. It does not and cannot 
t.
care about conveying or hid-
e about anything. So, just as 
y, it meets one of Frankfurt’s 
his only gets us so far – a rock 
er, and it would be patently 
eans rocks are bullshitters6. 
llshit, but they are not them-
s – or even books – ChatGPT 
like it performs speech acts 
 designers. And while there 
oncerning whether ChatGPT 
ed that the sentences it pro-
ul (see e.g. Mandelkern and 
convey truth or falsehood 
der of – to use Colbert’s apt 
 statement, and ChatGPT is 
ake attempts at bullshit effi-
ctionaries, etc., are not). So, 
tGPT is a soft bullshitter: if 
ns, there isn’t any attempt to 
ards truth, but it is nonethe-
of outputting utterances that 
 conclude that ChatGPT is a 
ter? A critic might object, it 
k of programs like ChatGPT 
 they are not agents, or relat-
 intend anything whatsoever.
st, whether or not ChatGPT 
rs do. And what they produce 
t. Second, we will argue that, 
ency, it does have a function; 
stic goals, and possibly even 
r definition of hard bullshit.
ld say what we mean when ","[432.0685714285715, 81.56571428571424, 781.7828571428572, 586.2514285714285]"
0001_ChatGPT_is_bullshit.pdf,6,heading,,"[599.3828571428571, 623.28, 438.9257142857142, 604.08]"
0001_ChatGPT_is_bullshit.pdf,6,body," actually is expressing proposi-
hich agents express propositions. 
even see ChatGPT as expressing 
ommunicative intentions, and so 
ngless. Even accepting this, we 
 as expressing propositions. This 
 - has recently been discussed by 
eserved.","[434.81142857142856, 641.1085714285715, 780.4114285714286, 872.8800000000001]"
0001_ChatGPT_is_bullshit.pdf,7,body,"ful one when combined wit
and soft bullshit. Reaching
dodgy student paper: we’v
where it was obvious that a d
deployed with a crushing la
lar words are used not beca
even because they serve to 
because the author wants to 
standing and sophistication
call the dictionary a bullshit
not be inappropriate to call
we should, strictly, say not t
it outputs bullshit in a way t
vector of bullshit: it does no
of its output, and the person
truth or falsehood but rather
text was written by a interes
ChatGPT may be a hard bulls
Is ChatGPT itself a hard b
intentions or goals: it must
not about the content of its
its agenda. Recall that hard 
student or the incompetent
their statements are true or 
ny literal sense, be said to have goals or aims? If so, does 
tend to deceive us about the content of its utterances, or 
ely have the goal to appear to be a competent speaker? 
s it have beliefs—internal representational states which 
to track the truth? If so, do its utterances match those 
efs (in which case its false statements might be some-
g like hallucinations) or are its utterances not matched 
he beliefs—in which case they are likely to be either lies 
ullshit? We will consider these questions in more depth 
elow.
here are other philosophically important aspects of 
nthood that we will not be considering. We won’t be 
sidering whether ChatGPT makes decisions, has or lacks 
nomy, or is conscious; we also won’t worry whether 
tGPT is morally responsible for its statements or its 
ons (if it has any of those).
tGPT is a bullshit machine
will argue that even if ChatGPT is not, itself, a hard 
shitter, it is nonetheless a bullshit machine. The bullshit-
s the person using it, since they (i) don’t care about the 
h of what it says, (ii) want the reader to believe what the 
ication outputs. On Frankfurt’s view, bullshit is bullshit 
n if uttered with no intent to bullshit: if something is 
shit to start with, then its repetition “is bullshit as he [or ","[68.63999999999997, 84.30857142857138, 416.98285714285703, 391.5085714285714]"
0001_ChatGPT_is_bullshit.pdf,7,heading,,"[68.63999999999997, 429.9085714285714, 246.92571428571432, 407.9657142857143]"
0001_ChatGPT_is_bullshit.pdf,7,body,"its agenda. We don’t think 
intentions in precisely the 
Levinstein and Herrmann (
the issues here). But when s
easy to use intentional langu
GPT trying to do? Does it c
is accurate? We will argue
perhaps not literal, sense in
deceive us about its agenda
the content of its utterances
a ‘normal’ interlocutor like
no similarly strong sense i
lies, or hallucinates.
Our case will be simple:
to imitate human speech. If
precisely the sort of intentio
be a hard bullshitter: in perf
attempting to deceive the au
ically, it’s trying to seem lik
when in many cases it does
this function gives rise to, o
tion. In the next section, we
his just pushes the question back to who the origina-
s, though: take the (increasingly frequent) example of 
tudent essay created by ChatGPT. If the student cared 
t accuracy and truth, they would not use a program that 
mously makes up sources whole-cloth. Equally, though, 
ey give it a prompt to produce an essay on philosophy 
ience and it produces a recipe for Bakewell tarts, then 
on’t have the desired effect. So the idea of ChatGPT 
bullshit machine seems right, but also as if it’s miss-
something: someone can produce bullshit using their 
e, a pen or a word processor, after all, but we don’t stan-
ly think of these things as being bullshit machines, or 
utputting bullshit in any particularly interesting way – 
ersely, there does seem to be something particular to 
GPT, to do with the way that it operates, which makes 
ore than a mere tool, and which suggests that it might 
opriately be thought of as an originator of bullshit. In 
, it doesn’t seem quite right either to think of Chat-
 as analogous to a pen (can be used for bullshit, but can 
e nothing without deliberate and wholly agent-directed 
n) nor as to a bullshitting human (who can intend and 
uce bullshit on their own initiative).
Content courtesy of Springer Nature, terms of use apply. Righ","[71.38285714285705, 440.88, 414.23999999999995, 1018.2514285714285]"
0001_ChatGPT_is_bullshit.pdf,7,body,"ain for the example of the 
l, I take it, marked papers 
onary or thesaurus had been 
of subtlety; where fifty-dol-
they’re the best choice, nor 
uscate the truth, but simply 
vey an impression of under-
would be inappropriate to 
st in this case; but it would 
 result bullshit. So perhaps 
ChatGPT is bullshit but that 
goes beyond being simply a 
d cannot care about the truth 
ng it does so not to convey 
convince the hearer that the 
and attentive agent.
er
hitter? If so, it must have 
end to deceive its listener, 
tements, but instead about 
shitters, like the unprepared 
itician, don’t care whether 
e, but do intend to deceive 
re doing. If so, it must have ","[435.49714285714293, 88.63714285714286, 781.3542857142859, 411.3514285714286]"
0001_ChatGPT_is_bullshit.pdf,7,heading,"atements, but instead about 
ChatGPT is an agent or has ","[434.21142857142866, 426.78000000000003, 633.497142857143, 442.2085714285715]"
0001_ChatGPT_is_bullshit.pdf,7,body,"coming) for a discussion of 
king loosely it is remarkably 
 to describe it: what is Chat-
whether the text it produces 
 there is a robust, although 
ich ChatGPT does intend to 
goal is not to convince us of 
t instead to portray itself as 
selves. By contrast, there is 
hich ChatGPT confabulates, 
atGPT’s primary function is 
 function is intentional, it is 
at is required for an agent to 
ng the function, ChatGPT is 
nce about its agenda. Specif-
mething that has an agenda, 
 We’ll discuss here whether 
best thought of, as an inten-
l argue that ChatGPT has no 
1 3
reserved.","[434.21142857142866, 462.78000000000003, 777.497142857143, 1016.9228571428571]"
